name,handedness,height,weight,avg,Scaled Avg_1,HR,Scaled HR_1,Performance_1
Reggie Jackson,L,72,195,0.262,0.799,563,1.0000,0.8994
Mike Schmidt,R,74,195,0.267,0.814,548,0.9734,0.8937
Willie Stargell,L,74,188,0.282,0.860,475,0.8437,0.8517
Carl Yastrzemski,L,71,175,0.285,0.869,452,0.8028,0.8359
Dave Kingman,R,78,210,0.236,0.720,442,0.7851,0.7523
Darrell Evans,L,74,200,0.248,0.756,414,0.7353,0.7457
Graig Nettles,L,72,180,0.248,0.756,390,0.6927,0.7244
Johnny Bench,R,73,197,0.267,0.814,389,0.6909,0.7525
Jim Rice,R,74,200,0.298,0.909,382,0.6785,0.7935
Tony Perez,R,74,175,0.279,0.851,379,0.6732,0.7619
Lee May,R,75,195,0.267,0.814,354,0.6288,0.7214
Dick Allen,R,71,187,0.292,0.890,351,0.6234,0.7568
George Foster,R,73,180,0.274,0.835,348,0.6181,0.7267
Ron Santo,R,72,190,0.277,0.845,342,0.6075,0.7260
Boog Powell,L,76,230,0.266,0.811,339,0.6021,0.7066
Don Baylor,R,73,190,0.26,0.793,338,0.6004,0.6965
Bobby Bonds,R,73,190,0.268,0.817,332,0.5897,0.7034
Willie Horton,R,71,209,0.273,0.832,325,0.5773,0.7048
Ron Cey,R,70,185,0.261,0.796,316,0.5613,0.6785
Reggie Smith,B,72,180,0.287,0.875,314,0.5577,0.7164
Greg Luzinski,R,73,220,0.276,0.841,307,0.5453,0.6934
Fred Lynn,L,73,185,0.283,0.863,306,0.5435,0.7032
Rusty Staub,L,74,190,0.279,0.851,292,0.5187,0.6846
Jimmy Wynn,R,70,160,0.25,0.762,291,0.5169,0.6395
Steve Garvey,R,70,192,0.294,0.896,272,0.4831,0.6897
George Scott,R,74,200,0.268,0.817,271,0.4813,0.6492
Gorman Thomas,R,74,210,0.225,0.686,268,0.4760,0.5810
Joe Morgan,L,67,160,0.271,0.826,268,0.4760,0.6511
George Hendrick,R,75,195,0.278,0.848,267,0.4742,0.6609
Larry Parrish,R,75,190,0.263,0.802,256,0.4547,0.6283
John Mayberry,L,75,215,0.253,0.771,255,0.4529,0.6121
Andre Thornton,R,75,200,0.254,0.774,253,0.4494,0.6119
Bobby Murcer,L,71,160,0.277,0.845,252,0.4476,0.6461
Joe Torre,R,74,212,0.297,0.905,252,0.4476,0.6765
Tony Armas,R,71,182,0.252,0.768,251,0.4458,0.6071
Ted Simmons,B,71,193,0.285,0.869,248,0.4405,0.6547
Ken Singleton,B,76,210,0.282,0.860,246,0.4369,0.6484
Deron Johnson,R,74,200,0.244,0.744,245,0.4352,0.5895
Sal Bando,R,72,195,0.254,0.774,242,0.4298,0.6021
Dusty Baker,R,74,183,0.278,0.848,242,0.4298,0.6387
Rick Monday,L,75,193,0.264,0.805,241,0.4281,0.6165
Cecil Cooper,L,74,165,0.298,0.909,241,0.4281,0.6683
Jeff Burroughs,R,73,200,0.261,0.796,240,0.4263,0.6110
Doug DeCinces,R,74,190,0.259,0.790,237,0.4210,0.6053
Ben Oglivie,L,74,160,0.273,0.832,235,0.4174,0.6249
Gary Matthews,R,74,185,0.281,0.857,234,0.4156,0.6362
Bobby Grich,R,74,180,0.266,0.811,224,0.3979,0.6044
Tony Oliva,L,73,175,0.304,0.927,220,0.3908,0.6588
Al Oliver,L,72,195,0.303,0.924,219,0.3890,0.6564
Joe Pepitone,L,74,185,0.258,0.787,219,0.3890,0.5878
Bob Horner,R,73,195,0.277,0.845,218,0.3872,0.6159
Chet Lemon,R,72,190,0.273,0.832,215,0.3819,0.6071
Rico Petrocelli,R,72,175,0.251,0.765,210,0.3730,0.5691
Jason Thompson,L,76,200,0.261,0.796,208,0.3694,0.5826
Richie Zisk,R,73,200,0.287,0.875,207,0.3677,0.6213
Rico Carty,R,75,200,0.299,0.912,204,0.3623,0.6370
Richie Hebner,L,73,195,0.276,0.841,203,0.3606,0.6010
Buddy Bell,R,73,180,0.279,0.851,201,0.3570,0.6038
Gene Tenace,R,72,190,0.241,0.735,201,0.3570,0.5459
Oscar Gamble,L,71,160,0.265,0.808,200,0.3552,0.5816
Don Mincher,L,75,205,0.249,0.759,200,0.3552,0.5572
Bill Freehan,R,75,203,0.262,0.799,200,0.3552,0.5770
Cesar Cedeno,R,74,175,0.285,0.869,199,0.3535,0.6112
Dick McAuliffe,L,71,176,0.247,0.753,197,0.3499,0.5515
Cliff Johnson,R,76,215,0.258,0.787,196,0.3481,0.5674
Toby Harrah,R,72,175,0.264,0.805,195,0.3464,0.5756
Amos Otis,R,71,165,0.277,0.845,193,0.3428,0.5937
Hal McRae,R,71,180,0.29,0.884,191,0.3393,0.6117
Bob Bailey,R,73,180,0.257,0.784,189,0.3357,0.5596
Darrell Porter,L,72,193,0.247,0.753,188,0.3339,0.5435
Chris Chambliss,L,73,195,0.279,0.851,185,0.3286,0.5896
Bob Watson,R,72,201,0.295,0.899,184,0.3268,0.6131
Willie Davis,L,74,180,0.279,0.851,182,0.3233,0.5869
Joe Rudi,R,74,200,0.264,0.805,179,0.3179,0.5614
Don Money,R,73,170,0.261,0.796,176,0.3126,0.5542
Bill Buckner,L,72,185,0.289,0.881,174,0.3091,0.5951
Nate Colbert,R,74,190,0.243,0.741,173,0.3073,0.5241
Jim Ray Hart,R,71,185,0.278,0.848,170,0.3020,0.5748
Bill Robinson,R,74,189,0.258,0.787,166,0.2948,0.5407
Larry Hisle,R,74,193,0.273,0.832,166,0.2948,0.5636
Dwayne Murphy,L,73,185,0.246,0.750,166,0.2948,0.5224
Tony Conigliaro,R,75,185,0.264,0.805,166,0.2948,0.5499
Jose Cruz,L,72,170,0.284,0.866,165,0.2931,0.5795
Claudell Washington,L,72,190,0.278,0.848,164,0.2913,0.5694
Roy Smalley,B,73,185,0.257,0.784,163,0.2895,0.5365
Bill Madlock,R,71,180,0.305,0.930,163,0.2895,0.6097
Keith Hernandez,L,72,180,0.296,0.902,162,0.2877,0.5951
Pete Rose,B,71,192,0.303,0.924,160,0.2842,0.6040
Frank White,R,71,165,0.255,0.777,160,0.2842,0.5308
Bill Melton,R,74,200,0.253,0.771,160,0.2842,0.5278
Roy White,B,70,160,0.271,0.826,160,0.2842,0.5552
Jim Hickman,R,75,192,0.252,0.768,159,0.2824,0.5254
Donn Clendenon,R,76,209,0.274,0.835,159,0.2824,0.5589
Ken McMullen,R,75,190,0.248,0.756,156,0.2771,0.5166
Doug Rader,R,74,208,0.251,0.765,155,0.2753,0.5203
Davey Lopes,R,69,170,0.263,0.802,155,0.2753,0.5386
Jim Northrup,L,75,190,0.267,0.814,153,0.2718,0.5429
Tom Tresh,B,73,180,0.245,0.747,153,0.2718,0.5094
Dan Driessen,L,71,187,0.267,0.814,153,0.2718,0.5429
Jim Fregosi,R,73,190,0.265,0.808,151,0.2682,0.5381
Lou Brock,L,71,170,0.293,0.893,149,0.2647,0.5790
Sixto Lezcano,R,70,165,0.271,0.826,148,0.2629,0.5445
Leon Durham,L,73,185,0.277,0.845,147,0.2611,0.5528
Ruppert Jones,L,70,170,0.25,0.762,147,0.2611,0.5116
Jim Spencer,L,74,195,0.25,0.762,146,0.2593,0.5108
Tommy Harper,R,69,165,0.257,0.784,146,0.2593,0.5214
Jeffrey Leonard,R,74,200,0.266,0.811,144,0.2558,0.5334
Johnny Briggs,L,73,190,0.253,0.771,139,0.2469,0.5091
Willie Montanez,L,72,170,0.275,0.838,139,0.2469,0.5427
Jose Cardenal,R,70,150,0.275,0.838,138,0.2451,0.5418
Earl Williams,R,75,215,0.247,0.753,138,0.2451,0.4991
Davey Johnson,R,73,170,0.261,0.796,136,0.2416,0.5186
Paul Blair,R,72,168,0.25,0.762,134,0.2380,0.5001
Tom Haller,L,76,195,0.257,0.784,134,0.2380,0.5108
Mack Jones,L,73,180,0.252,0.768,133,0.2362,0.5023
John Milner,L,72,185,0.249,0.759,131,0.2327,0.4959
Ken Harrelson,R,74,190,0.239,0.729,131,0.2327,0.4807
Jorge Orta,L,70,170,0.278,0.848,130,0.2309,0.5392
Gary Ward,R,74,195,0.276,0.841,130,0.2309,0.5362
Tommie Agee,R,71,195,0.255,0.777,130,0.2309,0.5042
Steve Kemp,L,72,195,0.278,0.848,130,0.2309,0.5392
Mike Epstein,L,75,230,0.244,0.744,130,0.2309,0.4874
Jody Davis,R,76,192,0.245,0.747,127,0.2256,0.4863
Aurelio Rodriguez,R,70,180,0.237,0.723,124,0.2202,0.4714
Willie Upshaw,L,72,185,0.262,0.799,123,0.2185,0.5086
Ken Phelps,L,73,209,0.239,0.729,123,0.2185,0.4736
Ellis Valentine,R,76,205,0.278,0.848,123,0.2185,0.5330
Don Lock,R,74,195,0.238,0.726,122,0.2167,0.4712
Ken Henderson,B,74,180,0.257,0.784,122,0.2167,0.5001
Nick Esasky,R,75,200,0.25,0.762,122,0.2167,0.4894
Joe Ferguson,R,74,200,0.24,0.732,122,0.2167,0.4742
Dan Ford,R,73,185,0.27,0.823,121,0.2149,0.5190
Gary Roenicke,R,75,205,0.247,0.753,121,0.2149,0.4840
Wayne Gross,L,74,210,0.233,0.710,121,0.2149,0.4626
Jimmie Hall,L,72,175,0.254,0.774,121,0.2149,0.4947
Keith Moreland,R,72,190,0.279,0.851,121,0.2149,0.5328
Ed Kranepool,L,75,205,0.261,0.796,118,0.2096,0.5027
Mike Easler,L,72,190,0.293,0.893,118,0.2096,0.5514
Leo Cardenas,R,71,150,0.257,0.784,118,0.2096,0.4966
Garry Maddox,R,75,175,0.285,0.869,117,0.2078,0.5384
Mickey Stanley,R,73,185,0.248,0.756,117,0.2078,0.4820
John Lowenstein,L,72,175,0.253,0.771,116,0.2060,0.4887
Rick Reichardt,R,75,210,0.261,0.796,116,0.2060,0.5009
Bob Robertson,R,73,195,0.242,0.738,115,0.2043,0.4710
Chuck Hinton,R,73,180,0.264,0.805,113,0.2007,0.5028
Thurman Munson,R,71,190,0.292,0.890,113,0.2007,0.5455
Greg Walker,L,75,205,0.26,0.793,113,0.2007,0.4967
Jim Morrison,R,71,175,0.26,0.793,112,0.1989,0.4958
Curt Blefary,L,74,195,0.237,0.723,112,0.1989,0.4607
Chris Speier,R,73,175,0.246,0.750,112,0.1989,0.4745
Max Alvis,R,71,185,0.247,0.753,111,0.1972,0.4751
Willie Aikens,L,75,220,0.271,0.826,110,0.1954,0.5108
Dave Duncan,R,74,190,0.214,0.652,109,0.1936,0.4230
Phil Garner,R,70,175,0.26,0.793,109,0.1936,0.4931
Fred Whitfield,L,73,190,0.253,0.771,108,0.1918,0.4816
Al Cowens,R,73,197,0.27,0.823,108,0.1918,0.5075
Larry Herndon,R,75,190,0.274,0.835,107,0.1901,0.5127
Lee Thomas,L,74,195,0.255,0.777,106,0.1883,0.4829
Bob Boone,R,74,195,0.254,0.774,105,0.1865,0.4804
Tony Gonzalez,L,69,170,0.286,0.872,103,0.1829,0.5274
Eric Soderholm,R,71,187,0.264,0.805,102,0.1812,0.4930
Jay Johnstone,L,73,175,0.267,0.814,102,0.1812,0.4976
Steve Yeager,R,72,190,0.228,0.695,102,0.1812,0.4381
Lou Piniella,R,72,182,0.291,0.887,102,0.1812,0.5342
Ollie Brown,R,74,178,0.265,0.808,102,0.1812,0.4945
Dave Concepcion,R,74,155,0.267,0.814,101,0.1794,0.4967
Denis Menke,R,72,185,0.25,0.762,101,0.1794,0.4708
Duke Sims,L,74,197,0.239,0.729,100,0.1776,0.4531
Bruce Bochte,L,75,195,0.282,0.860,100,0.1776,0.5187
Johnny Grubb,L,75,175,0.278,0.848,99,0.1758,0.5117
Ozzie Virgil,R,73,180,0.243,0.741,98,0.1741,0.4575
Pete Ward,L,73,185,0.254,0.774,98,0.1741,0.4742
Butch Hobson,R,73,193,0.248,0.756,98,0.1741,0.4651
Bernie Carbo,L,71,173,0.264,0.805,96,0.1705,0.4877
Dave May,L,70,186,0.251,0.765,96,0.1705,0.4679
Jim Sundberg,R,72,190,0.248,0.756,95,0.1687,0.4624
Jerry Morales,R,70,155,0.259,0.790,95,0.1687,0.4792
Mike Jorgensen,L,72,195,0.243,0.741,95,0.1687,0.4548
Bob Oliver,R,75,205,0.256,0.780,94,0.1670,0.4737
Don Buford,B,67,160,0.264,0.805,93,0.1652,0.4850
Cleon Jones,R,72,185,0.281,0.857,93,0.1652,0.5109
Lee Mazzilli,B,73,180,0.259,0.790,93,0.1652,0.4774
Rod Carew,L,72,170,0.328,1.000,92,0.1634,0.5817
Lee Lacy,R,73,175,0.286,0.872,91,0.1616,0.5168
Cito Gaston,R,75,190,0.256,0.780,91,0.1616,0.4711
Mike Davis,L,74,175,0.259,0.790,91,0.1616,0.4756
Ken Landreaux,L,70,165,0.268,0.817,91,0.1616,0.4894
Bob Brenly,R,74,210,0.247,0.753,91,0.1616,0.4573
Mike Lum,L,72,180,0.247,0.753,90,0.1599,0.4565
Carlos May,L,71,200,0.274,0.835,90,0.1599,0.4976
Alan Ashby,B,74,185,0.245,0.747,90,0.1599,0.4534
Bo Diaz,R,71,185,0.255,0.777,87,0.1545,0.4660
Del Unser,L,73,180,0.258,0.787,87,0.1545,0.4706
John Wockenfuss,R,72,190,0.262,0.799,86,0.1528,0.4758
Willie Crawford,L,73,197,0.268,0.817,86,0.1528,0.4849
Tom Paciorek,R,76,215,0.282,0.860,86,0.1528,0.5063
Bobby Tolan,L,71,170,0.265,0.808,86,0.1528,0.4803
Dan Meyer,L,71,180,0.253,0.771,86,0.1528,0.4620
Ed Charles,R,70,170,0.263,0.802,86,0.1528,0.4773
Jerry Martin,R,73,195,0.251,0.765,85,0.1510,0.4581
Ed Kirkpatrick,L,71,195,0.238,0.726,85,0.1510,0.4383
Gates Brown,L,71,220,0.257,0.784,84,0.1492,0.4664
Ray Knight,R,73,185,0.271,0.826,84,0.1492,0.4877
Bobby Darwin,R,74,190,0.251,0.765,83,0.1474,0.4563
Roger Repoz,L,75,190,0.224,0.683,82,0.1456,0.4143
Randy Hundley,R,71,170,0.236,0.720,82,0.1456,0.4326
Mike Ivie,R,75,205,0.269,0.820,81,0.1439,0.4820
John Bateman,R,75,210,0.23,0.701,81,0.1439,0.4225
Johnny Edwards,L,76,220,0.242,0.738,81,0.1439,0.4408
Ed Herrmann,L,73,195,0.24,0.732,80,0.1421,0.4369
Dick Green,R,70,180,0.24,0.732,80,0.1421,0.4369
Joel Youngblood,R,72,180,0.265,0.808,80,0.1421,0.4750
Mike Hargrove,L,72,195,0.29,0.884,80,0.1421,0.5131
Roy Howell,L,73,190,0.261,0.796,80,0.1421,0.4689
Bob Tillman,R,76,205,0.232,0.707,79,0.1403,0.4238
Juan Beniquez,R,71,150,0.274,0.835,79,0.1403,0.4878
Bert Campaneris,R,70,160,0.259,0.790,79,0.1403,0.4650
Julian Javier,R,73,175,0.257,0.784,78,0.1385,0.4610
Otto Velez,R,72,170,0.251,0.765,78,0.1385,0.4519
Alex Johnson,R,72,205,0.288,0.878,78,0.1385,0.5083
Phil Bradley,R,72,185,0.286,0.872,78,0.1385,0.5052
Leon Roberts,R,75,200,0.267,0.814,78,0.1385,0.4763
Rich Rollins,R,70,185,0.269,0.820,77,0.1368,0.4784
Leroy Stanton,R,73,195,0.244,0.744,77,0.1368,0.4403
Milt May,L,72,190,0.263,0.802,77,0.1368,0.4693
Tim Laudner,R,75,212,0.225,0.686,77,0.1368,0.4114
Jim Dwyer,L,70,165,0.26,0.793,77,0.1368,0.4647
Don Wert,R,70,162,0.242,0.738,77,0.1368,0.4373
George Mitterwald,R,74,195,0.236,0.720,76,0.1350,0.4273
Tony Horton,R,75,210,0.268,0.817,76,0.1350,0.4760
Pat Kelly,L,73,185,0.264,0.805,76,0.1350,0.4699
Tommy McCraw,L,72,183,0.246,0.750,75,0.1332,0.4416
Ralph Garr,L,71,185,0.306,0.933,75,0.1332,0.5331
Jim Lefebvre,B,72,180,0.251,0.765,74,0.1314,0.4483
Bernie Allen,L,72,175,0.239,0.729,73,0.1297,0.4292
Andy Kosco,R,75,205,0.236,0.720,73,0.1297,0.4246
Ron Swoboda,R,74,195,0.242,0.738,73,0.1297,0.4337
Mitchell Page,L,74,205,0.266,0.811,72,0.1279,0.4694
Mike Young,B,74,195,0.247,0.753,72,0.1279,0.4405
